trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.992}",25,0,-90.26418371898185,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.984}",25,2,-184.87725272505912,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 3}",1
3,False,"{'a': 0.5, 'e': 0.976}",20,0,-75.53923759555161,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.968}",25,0,-95.27920275593377,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.96}",30,0,-133.82774071795288,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.952}",20,0,-80.10432881222734,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.944}",20,0,-55.82295448912656,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9359999999999999}",20,0,-54.038604162877846,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9279999999999999}",20,0,-128.6907158507767,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,-111.7416273894514,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9119999999999999}",20,0,-147.35959798034753,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9039999999999999}",25,0,-71.62531303221843,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8959999999999999}",30,0,-95.82336400435817,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8879999999999999}",25,9,9.313356718233909,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-81.12072407840158,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8719999999999999}",25,1,-70.92953240680875,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8639999999999999}",20,0,-117.64492874921736,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8559999999999999}",35,0,-121.00189505238822,"{0: 25, 1: 5, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8479999999999999}",25,0,-68.94382615653244,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-76.20301637686013,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8319999999999999}",20,0,-126.71642174057975,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8239999999999998}",25,10,-19.087679403253865,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8159999999999998}",20,0,-114.58708417836296,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8079999999999998}",20,0,-160.1974015677302,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,3,-127.60052873672792,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 3}",1
26,False,"{'a': 0.5, 'e': 0.7919999999999998}",30,6,-103.18636605772234,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 3}",1
27,False,"{'a': 0.5, 'e': 0.7839999999999998}",25,7,-115.86528446514797,"{0: 13, 1: 0, 2: 1, 3: 2, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.7759999999999998}",25,0,-88.99362884716282,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7679999999999998}",30,12,-35.4600583439898,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-48.85681970997799,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7519999999999998}",25,20,8.750226534474262,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7439999999999998}",25,0,-193.5608735680418,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
