trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-208.8901126067453,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9999920000106667}",20,0,-67.6975496508343,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9999680001706663}",25,2,-188.5649723814864,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-92.39622681131667,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9998720027306434}",25,0,-152.58422978253236,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9998000066665778}",30,0,-162.34037810419034,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9997120138237345}",25,0,-41.37659639096192,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9996080256099974}",25,5,-93.28888777702059,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.9994880436891754}",20,0,-108.74295301080983,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9993520699809768}",20,0,-126.69535061910638,"{0: 10, 1: 5, 2: 1, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9992001066609779}",25,0,-203.5657968460407,"{0: 10, 1: 5, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9990321561605888}",35,0,-258.94808545537,"{0: 19, 1: 3, 2: 7, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9988482211670138}",30,0,-97.33636599685317,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9986483046232089}",20,0,-57.0526718738813,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9984324097278344}",30,0,-211.06167577829422,"{0: 15, 1: 3, 2: 9, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-51.47787821123058,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.99795269895523}",25,0,-169.82674668441126,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9976888907533621}",30,0,-215.4736954092312,"{0: 16, 1: 0, 2: 11, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9974091195505261}",25,0,-172.08425863503388,"{0: 9, 1: 9, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9971133898230555}",25,0,-85.49871529562922,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9968017063026194}",20,0,-58.94302548312422,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9964740739761475}",20,0,-100.48959143418642,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9961304980857502}",25,0,-144.2530810484889,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
