trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.0322156689134,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.878962029470465,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-325.1359907549352,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 7}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.18363860880476,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.49885389094419,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.78702704153292,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.06083255503935,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.80117268410243,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,9,-27.65427508455965,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.18851810309397,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.30516491163033,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.28833162289104,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.06188472777778,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.922159419999,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.04570017019813,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.44017225325533,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.83004254553606,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.8707494596621,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.92816395185663,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.2815666182329,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.36880528464378,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.91942757314612,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.01724428870074,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-113.2466431015556,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.36955933491872,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-163.13415148531027,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.413207872335946,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.6145921359056,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.8797737896163,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-34.11282428934071,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
